ID,Ciudad,Tipo,Precio (EUR),Año de Construcción,Superficie (m2),Habitaciones,Baños,Garaje,Ascensor,Energía Renovable
1,Málaga,Dúplex,350000,1990,120,3,1,1,0,
2,Valencia,Casa,350000,,60,1,3,1,0,
3,Bilbao,Casa,350000,1990,120,3,1,1,,
4,Málaga,Casa,350000,2000,,4,1,1,1,Solar
5,Sevilla,Casa,350000,2010,150,2,1,0,,Solar
6,Murcia,Casa,,1990,150,2,1,0,0,Eólica
7,Bilbao,Casa,,1980,,5,1,0,0,Eólica
8,Bilbao,Dúplex,300000,2010,60,2,2,1,0,
9,Málaga,Dúplex,250000,2010,100,5,1,1,0,
10,Barcelona,Casa,350000,1980,80,1,1,0,0,
11,Sevilla,Dúplex,200000,1990,60,4,3,0,0,Eólica
12,Málaga,Apartamento,,1980,80,5,1,1,0,Eólica
13,Sevilla,Casa,200000,,,1,3,1,1,Eólica
14,Sevilla,Apartamento,200000,2010,200,2,2,0,,Eólica
15,Murcia,Apartamento,200000,2020,80,2,1,0,0,Eólica
16,Bilbao,Casa,300000,2020,100,1,3,1,1,Eólica
17,Valencia,Dúplex,,2000,200,2,3,0,1,Eólica
18,Murcia,Apartamento,200000,1980,80,1,2,0,,
19,Murcia,Casa,350000,1980,,5,1,0,0,
20,Sevilla,Apartamento,400000,2000,200,5,1,1,,
21,Granada,Apartamento,200000,2000,,1,3,1,0,
22,Bilbao,Apartamento,300000,2000,80,5,1,1,1,Eólica
23,Barcelona,Apartamento,,2010,,5,3,1,1,Solar
24,Murcia,Dúplex,300000,,100,5,1,1,1,Eólica
25,Valencia,Apartamento,200000,1980,80,3,3,1,1,Solar
26,Granada,Apartamento,,2010,80,4,1,1,,
27,Granada,Apartamento,400000,2000,80,2,2,0,0,Eólica
28,Barcelona,Dúplex,200000,1980,60,3,1,0,0,
29,Murcia,Apartamento,300000,2010,60,5,1,0,,Eólica
30,Valencia,Apartamento,250000,,60,1,2,0,0,
31,Bilbao,Dúplex,350000,2010,100,5,1,0,1,Solar
32,Madrid,Dúplex,300000,,200,4,2,0,0,Solar
33,Valencia,Dúplex,,2000,,5,1,0,1,Solar
34,Barcelona,Apartamento,200000,,150,1,3,1,,Eólica
35,Granada,Dúplex,350000,1980,80,4,3,1,0,Solar
36,Bilbao,Dúplex,200000,2000,,5,1,0,,Eólica
37,Valencia,Apartamento,,1980,80,4,1,0,0,Solar
38,Madrid,Dúplex,200000,2020,100,2,1,1,1,Solar
39,Madrid,Apartamento,250000,1990,80,2,3,0,,Eólica
40,Sevilla,Casa,350000,,60,5,1,0,0,Eólica
41,Sevilla,Dúplex,350000,1990,150,4,3,1,1,Solar
42,Málaga,Casa,,1990,120,1,2,0,,Eólica
43,Barcelona,Apartamento,250000,,80,5,3,1,,Solar
44,Murcia,Dúplex,300000,2000,,2,3,0,0,Eólica
45,Valencia,Apartamento,200000,2020,60,2,2,1,0,
46,Valencia,Casa,400000,1980,120,5,3,1,0,
47,Murcia,Apartamento,200000,2010,150,4,1,1,1,
48,Málaga,Dúplex,200000,1980,120,2,1,0,0,
49,Granada,Dúplex,300000,2010,60,4,3,1,,
50,Granada,Casa,200000,1980,200,2,1,0,,Solar
51,Málaga,Apartamento,250000,,200,2,3,0,0,
52,Granada,Dúplex,250000,2020,120,3,1,0,0,
53,Sevilla,Casa,350000,2010,100,2,1,0,,
54,Valencia,Dúplex,,2000,,1,3,1,1,
55,Málaga,Dúplex,400000,1980,,5,1,1,0,Eólica
56,Valencia,Apartamento,200000,1980,120,5,3,0,0,Solar
57,Murcia,Dúplex,200000,2010,80,4,1,0,,
58,Madrid,Apartamento,300000,2000,80,2,1,1,0,
59,Sevilla,Dúplex,,2000,,1,2,0,1,
60,Bilbao,Casa,250000,,,4,2,1,,Solar
61,Sevilla,Dúplex,400000,,200,3,3,0,0,Eólica
62,Málaga,Apartamento,350000,,100,4,2,0,,Solar
63,Bilbao,Apartamento,250000,,60,4,3,1,0,Eólica
64,Madrid,Casa,,,80,2,2,0,0,
65,Málaga,Dúplex,350000,,,3,1,1,0,
66,Barcelona,Dúplex,300000,2020,200,4,3,0,1,Solar
67,Valencia,Casa,300000,2000,150,1,3,0,1,Solar
68,Madrid,Dúplex,200000,,200,1,1,0,,Eólica
69,Valencia,Dúplex,,2000,80,5,3,1,0,Eólica
70,Granada,Apartamento,400000,2000,80,3,3,0,0,Solar
71,Barcelona,Dúplex,350000,1990,200,3,2,0,1,Eólica
72,Barcelona,Dúplex,250000,2020,60,5,3,0,0,Solar
73,Madrid,Casa,,,120,4,1,0,1,Eólica
74,Barcelona,Casa,,1980,80,3,2,1,0,Solar
75,Bilbao,Apartamento,300000,2010,200,1,2,1,,Solar
76,Barcelona,Dúplex,200000,1980,,1,1,0,0,Solar
77,Valencia,Dúplex,200000,2020,200,2,1,1,0,Eólica
78,Valencia,Dúplex,350000,2010,100,3,2,0,1,Eólica
79,Málaga,Apartamento,300000,2020,120,4,3,0,0,Eólica
80,Valencia,Apartamento,,2000,150,5,2,0,0,Solar
81,Málaga,Casa,400000,2010,60,5,1,1,1,Eólica
82,Valencia,Apartamento,300000,2000,150,4,2,1,,Eólica
83,Bilbao,Dúplex,350000,1980,120,2,1,1,,Solar
84,Murcia,Dúplex,350000,1980,120,5,2,1,1,
85,Málaga,Apartamento,300000,2010,120,3,3,1,1,Solar
86,Sevilla,Dúplex,350000,2010,150,2,2,1,1,Eólica
87,Granada,Dúplex,300000,,,3,2,1,1,Solar
88,Madrid,Apartamento,250000,2020,120,1,1,1,1,
89,Valencia,Apartamento,300000,,200,2,1,1,,Solar
90,Barcelona,Dúplex,300000,2020,150,5,1,0,,Eólica
91,Murcia,Dúplex,350000,,120,2,2,1,1,
92,Valencia,Dúplex,350000,2000,200,2,3,1,0,Eólica
93,Barcelona,Casa,200000,2010,,2,1,1,1,
94,Granada,Casa,200000,1980,100,2,1,1,0,
95,Granada,Casa,250000,2020,,3,2,1,1,Solar
96,Granada,Apartamento,200000,2020,120,1,1,1,1,Solar
97,Barcelona,Casa,300000,1980,150,4,3,1,,Eólica
98,Valencia,Apartamento,350000,,80,2,3,1,0,Solar
99,Granada,Apartamento,200000,2020,120,5,1,1,0,Solar
100,Bilbao,Casa,200000,2000,80,2,1,1,,
84,Murcia,Dúplex,350000,1980,120,5,2,1,1,
62,Málaga,Apartamento,350000,,100,4,2,0,,Solar
92,Valencia,Dúplex,350000,2000,200,2,3,1,0,Eólica
61,Sevilla,Dúplex,400000,,200,3,3,0,0,Eólica
1,Málaga,Dúplex,350000,1990,120,3,1,1,0,
